time,event,details
Fri Apr 12 16:16:21 2019,saw,dog
Fri Apr 12 16:16:30 2019,saw,dog
Fri Apr 12 16:17:50 2019,typed,fuck
Fri Apr 12 16:17:52 2019,typed,ass
Fri Apr 12 16:18:01 2019,typed,ass
Fri Apr 12 16:18:03 2019,typed,fuck
Fri Apr 12 16:18:06 2019,typed,fuck
Fri Apr 12 16:18:17 2019,read,fuck
Fri Apr 12 16:18:17 2019,read,fuck
