time,event,details
Fri Apr 19 11:20:34 2019,typed,ass
Fri Apr 19 11:20:36 2019,typed,fuck
Fri Apr 19 11:20:47 2019,read,ass
Fri Apr 19 11:20:47 2019,read,fuck
Fri Apr 19 11:22:12 2019,read,anal
Fri Apr 19 11:23:09 2019,typed,gook
Fri Apr 19 11:23:56 2019,read,fuck
Fri Apr 19 11:23:56 2019,read,fuck
Fri Apr 19 11:23:56 2019,read,anal
Fri Apr 19 11:24:13 2019,read,ass
Fri Apr 19 11:24:13 2019,read,anal
Fri Apr 19 11:24:13 2019,read,fuck
Fri Apr 19 11:24:13 2019,read,anal
